Date,Open,High,Low,Close,Volume
,559.21,563.34,557.89,558.11,0.0
,558.11,559.52,555.87,559.52,0.0
,559.52,560.0,557.13,557.14,0.0
,557.52,558.53,555.2,557.46,0.0
,557.46,561.0,557.46,560.1,0.0
,560.1,560.1,560.1,560.1,0.0
,560.1,560.1,560.1,560.1,0.0
,560.1,562.22,558.04,559.05,0.0
,559.05,560.01,555.74,560.0,0.0
,560.0,561.52,559.49,560.92,0.0
,561.09,562.36,560.49,561.88,0.0
1995-01-09,561.88,564.59,561.01,563.84,0.0
1995-02-09,563.84,563.84,563.84,563.84,0.0
1995-03-09,563.84,563.84,563.84,563.84,0.0
1995-04-09,563.84,563.84,563.84,563.84,0.0
1995-05-09,563.86,569.2,563.84,569.17,0.0
1995-06-09,569.17,570.53,569.0,570.17,0.0
1995-07-09,570.17,571.11,569.23,570.29,0.0
1995-08-09,570.71,572.68,569.27,572.68,0.0
1995-09-09,572.68,572.68,572.68,572.68,0.0
1995-10-09,572.68,572.68,572.68,572.68,0.0
1995-11-09,572.68,575.15,572.68,573.91,0.0
1995-12-09,573.95,576.51,573.11,576.51,0.0
,576.51,579.72,575.47,578.77,0.0
,578.77,583.98,578.77,583.61,0.0
,583.61,585.07,581.79,583.35,0.0
,583.35,583.35,583.35,583.35,0.0
,583.35,583.35,583.35,583.35,0.0
,583.35,583.37,579.36,582.77,0.0
,582.78,584.2,580.75,584.2,0.0
,584.2,586.77,584.18,586.77,0.0
,586.77,586.78,580.93,583.0,0.0
,583.0,583.0,578.3,581.73,0.0
,581.73,581.73,581.73,581.73,0.0
,581.73,581.73,581.73,581.73,0.0
,581.83,582.14,579.53,581.81,0.0
,581.81,584.66,580.69,581.41,0.0
,581.41,581.42,574.68,581.04,0.0
,581.04,585.88,580.69,585.87,0.0
,585.87,587.59,584.02,584.41,0.0
,584.41,584.41,584.41,584.41,0.0
1995-01-10,584.41,584.41,584.41,584.41,0.0
1995-02-10,584.41,585.05,580.54,581.72,0.0
1995-03-10,581.72,582.34,578.51,582.34,0.0
1995-04-10,582.34,582.34,579.91,581.47,0.0
1995-05-10,581.47,582.63,579.59,582.63,0.0
1995-06-10,582.63,584.54,582.13,582.49,0.0
1995-07-10,582.49,582.49,582.49,582.49,0.0
1995-08-10,582.49,582.49,582.49,582.49,0.0
1995-09-10,582.49,582.49,576.46,578.37,0.0
1995-10-10,586.03,586.03,571.55,577.53,0.0
1995-11-10,577.52,579.52,577.08,579.46,0.0
1995-12-10,579.46,583.1,579.46,583.1,0.0
,583.1,587.38,583.1,584.5,0.0
,584.5,584.5,584.5,584.5,0.0
,584.5,584.5,584.5,584.5,0.0
,584.5,584.86,582.63,583.03,0.0
,583.03,586.78,581.9,586.78,0.0
,586.78,589.77,586.28,587.44,0.0
,587.44,590.66,586.34,590.65,0.0
,590.65,590.65,586.82,587.46,0.0
,587.46,587.46,587.46,587.46,0.0
,587.46,587.46,587.46,587.46,0.0
,587.46,587.46,583.73,585.06,0.0
,585.06,587.31,584.75,586.56,0.0
,586.54,587.18,581.47,582.47,0.0
,582.47,582.63,572.53,576.72,0.0
